indicativo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,latitude,longitude
2374X,98.8,5.9,32.2,65.10000000000001,22.9,58.6,41.6,56.0,111.8,14.0,29.8,59.6,58.4,30.4,41.6,34.0,115.4,5.800000000000001,76.6,58.8,31.8,62.199999999999996,47.6,50.38695652173912,42.350833333333334,-4.617222222222223
2400E,73.9,9.600000000000001,14.9,46.3,18.5,44.699999999999996,28.8,0.1,72.0,19.1,29.4,41.1,48.7,27.7,35.4,41.4,99.5,5.1,0.0,32.199999999999996,56.7,42.5,31.7,3.3000000000000003,41.995555555555555,-4.602777777777778
2422,100.2,6.3999999999999995,38.0,90.6,32.9,38.5,59.300000000000004,63.0,83.2,19.8,60.8,51.3,94.1,56.2,13.4,55.0,76.2,7.0,66.8,51.6,113.6,60.9,60.2,4.6,41.64083333333333,-4.754444444444444
2444,70.1,2.1,32.8,54.6,17.1,27.3,27.199999999999996,74.0,49.5,34.3,42.2,47.1,72.0,33.6,30.5,26.6,78.6,12.5,79.8,34.6,84.2,66.4,44.0,5.8,40.659166666666664,-4.680000000000001
2462,390.5,46.7,123.4,98.80000000000001,89.2,78.0,95.6,168.4,277.2,114.6,69.4,225.8,260.2,68.2,118.7,100.89999999999999,202.9,33.5,169.1,153.4,186.0,130.4,163.6,15.200000000000001,40.793055555555554,-4.010555555555555
2465,85.0,23.8,35.4,48.2,27.5,25.2,30.7,65.8,61.3,63.1,41.5,43.9,109.5,40.4,37.9,47.6,52.2,9.8,104.39999999999999,54.4,61.3,99.0,48.800000000000004,12.0,40.945277777777775,-4.126388888888888
2503X,86.6,5.1,27.900000000000002,37.300000000000004,24.8,26.9,32.0,39.8,56.1,19.8,51.1,45.7,75.9,27.8,3.5999999999999996,52.9,73.4,4.0,38.37222222222223,38.37222222222223,38.37222222222223,38.37222222222223,38.37222222222223,38.37222222222223,41.325833333333335,-4.686944444444444
2539,105.9,4.5,19.0,60.0,23.0,51.9,39.0,35.300000000000004,77.1,35.4,46.8,64.9,86.6,52.9,15.0,43.6,85.1,2.5,56.9,46.1,88.1,81.3,53.8,5.1,41.71194444444445,-4.855555555555555
2614,84.3,16.200000000000003,23.5,49.5,28.299999999999997,38.2,49.8,48.0,74.9,29.2,63.0,31.8,63.4,39.6,14.5,44.6,102.7,3.4,42.800000000000004,38.800000000000004,92.2,68.2,35.6,1.4,41.51555555555556,-5.735277777777778
2630X,161.2,42.6,47.2,106.9,48.0,90.0,61.800000000000004,109.10000000000001,129.6,58.8,90.33636363636363,70.4,136.0,66.4,184.6,115.6,170.6,14.0,90.33636363636363,92.8,197.8,74.8,9.2,0.0,43.06222222222222,-5.376944444444444
2661,127.8,10.1,15.6,78.6,17.299999999999997,66.1,42.6,52.300000000000004,77.9,25.6,33.2,120.8,68.3,26.0,58.1,46.6,110.6,9.8,46.8,55.199999999999996,74.3,40.4,32.0,6.3999999999999995,42.58833333333334,-5.651111111111112
2737E,90.5,2.5,8.1,71.8,9.5,28.2,36.3,62.2,46.800000000000004,21.2,23.2,28.7,46.0,27.4,34.4,39.300000000000004,1.8,5.9,33.1,32.0,71.6,34.9,22.3,0.8,42.3775,-6.196666666666667
2755X,87.3,7.3,23.1,38.9,33.9,46.2,51.699999999999996,38.4,73.8,7.4,34.6,65.2,36.4,56.8,21.8,43.8,108.0,2.8,39.4,36.2,87.39999999999999,62.0,33.4,2.8,42.01083333333333,-5.666666666666667
2775X,186.60000000000002,12.3,0.0,117.7,28.8,51.300000000000004,69.39999999999999,30.0,161.20000000000002,14.4,27.599999999999998,77.2,83.39999999999999,60.4,53.8,60.4,170.4,9.8,67.0,104.8,139.4,48.0,46.4,5.0,41.94138888888889,-6.279722222222222
2867,73.2,5.6,30.9,49.8,20.5,30.700000000000003,24.6,72.5,65.39999999999999,35.3,19.1,18.7,110.9,39.6,20.9,47.0,60.3,10.4,56.2,29.4,84.6,63.7,71.7,6.8999999999999995,40.95944444444445,-5.498333333333333
2870,75.2,8.9,41.4,44.8,21.3,27.9,23.8,51.7,90.7,29.2,41.7,39.5,96.6,38.800000000000004,20.3,54.3,74.5,10.0,59.800000000000004,37.2,70.8,56.1,37.4,6.7,40.9575,-5.662222222222223
2916A,109.8,18.7,25.8,48.3,38.7,41.1,31.5,36.6,113.8,45.4,27.0,57.8,78.8,39.0,55.4,52.800000000000004,107.8,10.2,102.4,97.0,97.4,53.199999999999996,47.0,10.4,41.01138888888889,-6.437777777777778
2946X,111.2,7.5,35.1,54.099999999999994,26.9,24.6,31.1,52.599999999999994,74.9,11.600000000000001,0.0,0.0,5.4,31.6,66.2,26.2,106.6,7.8,67.0,67.8,93.6,60.8,50.8,12.6,40.635,-6.6
3013,73.2,16.0,63.300000000000004,30.8,81.0,26.400000000000002,30.7,83.8,100.4,43.2,58.8,70.8,67.6,58.6,29.8,17.400000000000002,49.2,22.0,73.6,91.2,72.8,107.8,48.2,2.6,40.84166666666667,-1.8788888888888888
3129,76.4,15.600000000000001,34.9,38.6,38.5,18.099999999999998,18.2,69.3,59.0,17.900000000000002,33.0,50.6,31.8,32.6,27.8,44.8,120.1,16.400000000000002,62.5,81.5,71.6,73.2,43.8,10.5,40.46666666666667,-3.5555555555555554
3168C,88.0,26.7,42.3,48.300000000000004,49.1,17.400000000000002,32.6,104.0,96.8,28.0,90.6,53.3,1.6,0.0,0.0,21.0,43.73125,43.73125,43.73125,43.73125,43.73125,43.73125,43.73125,43.73125,40.659166666666664,-3.1733333333333333
3175,75.8,15.1,31.2,40.8,34.3,10.299999999999999,23.9,82.2,66.9,33.2,42.6,73.4,60.3,39.0,28.1,31.200000000000003,105.7,9.2,56.7,75.2,86.60000000000001,86.1,47.4,6.1,40.48861111111111,-3.443611111111111
3191E,131.0,16.7,56.5,42.300000000000004,43.5,27.6,46.9,90.4,162.70000000000002,34.8,66.5,96.9,84.4,36.8,29.7,43.6,121.2,21.3,80.8,97.0,80.6,56.5,55.699999999999996,5.2,40.69611111111111,-3.765
3195,88.4,24.0,47.1,39.2,48.0,13.9,45.6,89.8,66.1,17.8,47.8,60.3,61.5,52.9,58.5,47.099999999999994,93.2,12.4,78.8,83.2,69.80000000000001,98.6,62.7,7.8,40.411944444444444,-3.6780555555555554
3196,88.9,18.8,50.0,26.4,36.2,20.6,25.200000000000003,69.7,73.89999999999999,23.0,50.1,70.9,57.8,59.8,25.9,41.4,100.2,11.0,52.6,71.7,73.1,63.4,75.1,7.3,40.37555555555556,-3.786111111111111
3200,73.7,22.2,48.5,33.2,40.300000000000004,12.3,23.0,52.599999999999994,61.3,27.8,39.0,40.4,62.0,48.0,38.199999999999996,38.9,78.2,13.1,53.4,70.4,62.8,62.8,58.9,8.2,40.29944444444444,-3.7222222222222223
3260B,70.5,15.5,58.6,24.7,33.7,6.9,38.6,92.0,65.9,22.8,58.3,67.1,49.6,37.0,27.0,31.0,83.6,13.2,47.8,47.6,65.80000000000001,79.8,79.2,3.2,39.88472222222222,-4.045277777777778
